Giles Corey
Jonathan Corwin
John Hathorne
Abigail Hobbs
Bridget Bishop
Mary Warren
Sarah Wildes
Mary Eastey
George Burroughs
Dorcas Hoar
Philip English
Samuel Sewall
Thomas Hawthorne
Mary Glover
Thomas Worthington
Daniel Quincy
Benjamin Daniels
Elizabeth Corbin
Susannah Goddard
John Goodwin
William Hubbard
Mary Dyer
James Otis
Joshua Agnew
Anne Putnam
Margaret Goosecombe
Alice Parker
Stephen Foster
Phoebe Hutchinson
Mary Churchyard
Joshua Denny
Elizabeth Howe
Mary Freeman Steele
Phillip Greenleaf
John Hale
Mary Wilkinson Parsons
Ann Phelps
Mary Alston
John Goodyer
Eleanor Stone
John Hawthorne
Susan Jemison
Elizabeth Howe
Debora Pearsons
Silvestre Randolf
Richard Hildreth
Sarabeth Gaskill
Roger Nurse
Abigail Parsons
Elizabeth Oldroyd
Margaret Wentworth
Rachel Hall
Mary Hibbins
Anne Whittaker
Susanna Manning
Elizabeth Palmer
Mary Harris
Anne Hutchinson
Abigail Simmons
Mary Robinson
Lucy Osburn
Anne Putnam
Abigail Williams
